COD_IBGE|NIVEL_IBGE|NIVEL_NOME|MUNICIPIO|POPULACAO|UF
2100154|N6|Município|Água Doce do Maranhão|12731|MA
2100204|N6|Município|Alcântara|22126|MA
2100303|N6|Município|Aldeias Altas|26979|MA
2100402|N6|Município|Altamira do Maranhão|8250|MA
2100436|N6|Município|Alto Alegre do Maranhão|28066|MA
2100477|N6|Município|Alto Alegre do Pindaré|31967|MA
2100501|N6|Município|Alto Parnaíba|11233|MA
2100550|N6|Município|Amapá do Maranhão|7047|MA
2100600|N6|Município|Amarante do Maranhão|42017|MA
2100709|N6|Município|Anajatuba|27170|MA
2100808|N6|Município|Anapurus|16054|MA
2100832|N6|Município|Apicum-Açu|17582|MA
2100873|N6|Município|Araguanã|15675|MA
2100907|N6|Município|Araioses|47095|MA
2100956|N6|Município|Arame|32825|MA
2101004|N6|Município|Arari|30014|MA
2101103|N6|Município|Axixá|12234|MA
2101202|N6|Município|Bacabal|105094|MA
2101251|N6|Município|Bacabeira|17446|MA
2101301|N6|Município|Bacuri|18726|MA
2101350|N6|Município|Bacurituba|5696|MA
2101400|N6|Município|Balsas|96951|MA
2101509|N6|Município|Barão de Grajaú|19026|MA
2101608|N6|Município|Barra do Corda|88895|MA
2101707|N6|Município|Barreirinhas|63891|MA
2101731|N6|Município|Belágua|7586|MA
2101772|N6|Município|Bela Vista do Maranhão|11347|MA
2101806|N6|Município|Benedito Leite|5643|MA
2101905|N6|Município|Bequimão|21317|MA
2101939|N6|Município|Bernardo do Mearim|6102|MA
2101970|N6|Município|Boa Vista do Gurupi|8494|MA
2102002|N6|Município|Bom Jardim|42010|MA
2102036|N6|Município|Bom Jesus das Selvas|35095|MA
2102077|N6|Município|Bom Lugar|16578|MA
2102101|N6|Município|Brejo|36900|MA
2102150|N6|Município|Brejo de Areia|8841|MA
2102200|N6|Município|Buriti|28916|MA
2102309|N6|Município|Buriti Bravo|23993|MA
2102325|N6|Município|Buriticupu|73595|MA
2102358|N6|Município|Buritirana|15503|MA
2102374|N6|Município|Cachoeira Grande|9524|MA
2102408|N6|Município|Cajapió|11255|MA
2102507|N6|Município|Cajari|19521|MA
2102556|N6|Município|Campestre do Maranhão|14530|MA
2102606|N6|Município|Cândido Mendes|20376|MA
2102705|N6|Município|Cantanhede|22236|MA
2102754|N6|Município|Capinzal do Norte|10937|MA
2102804|N6|Município|Carolina|24151|MA
2102903|N6|Município|Carutapera|24095|MA
2103000|N6|Município|Caxias|166159|MA
2103109|N6|Município|Cedral|10711|MA
2103125|N6|Município|Central do Maranhão|8806|MA
2103158|N6|Município|Centro do Guilherme|13876|MA
2103174|N6|Município|Centro Novo do Maranhão|22056|MA
2103208|N6|Município|Chapadinha|80705|MA
2103257|N6|Município|Cidelândia|14855|MA
2103307|N6|Município|Codó|123368|MA
2103406|N6|Município|Coelho Neto|49804|MA
2103505|N6|Município|Colinas|41443|MA
2103554|N6|Município|Conceição do Lago-Açu|16559|MA
2103604|N6|Município|Coroatá|65788|MA
2103703|N6|Município|Cururupu|32559|MA
2103752|N6|Município|Davinópolis|12923|MA
2103802|N6|Município|Dom Pedro|23393|MA
2103901|N6|Município|Duque Bacelar|11451|MA
2104008|N6|Município|Esperantinópolis|16971|MA
2104057|N6|Município|Estreito|43097|MA
2104073|N6|Município|Feira Nova do Maranhão|8506|MA
2104081|N6|Município|Fernando Falcão|10559|MA
2104099|N6|Município|Formosa da Serra Negra|19425|MA
2104107|N6|Município|Fortaleza dos Nogueiras|12662|MA
