UF;COD_MUN;NM_MUN;REDE;NOTA
AM;1304062;Tabatinga;Pública;3.1
AM;1304104;Tapauá;Estadual;3.8
AM;1304104;Tapauá;Pública;3.8
AM;1304203;Tefé;Estadual;2.9
AM;1304203;Tefé;Federal;0.0
AM;1304203;Tefé;Pública;3.0
AM;1304237;Tonantins;Estadual;3.2
AM;1304237;Tonantins;Pública;3.2
AM;1304260;Uarini;Estadual;3.3
AM;1304260;Uarini;Pública;3.3
AM;1304302;Urucará;Estadual;3.2
AM;1304302;Urucará;Pública;3.2
AM;1304401;Urucurituba;Estadual;3.5
AM;1304401;Urucurituba;Pública;3.5
RR;1400027;Amajari;Estadual;0.0
RR;1400027;Amajari;Federal;0.0
RR;1400027;Amajari;Pública;0.0
RR;1400050;Alto Alegre;Estadual;0.0
RR;1400050;Alto Alegre;Pública;0.0
RR;1400100;Boa Vista;Estadual;0.0
RR;1400100;Boa Vista;Federal;0.0
RR;1400100;Boa Vista;Pública;0.0
RR;1400159;Bonfim;Estadual;0.0
RR;1400159;Bonfim;Pública;0.0
RR;1400175;Cantá;Estadual;0.0
RR;1400175;Cantá;Pública;0.0
RR;1400209;Caracaraí;Estadual;0.0
RR;1400209;Caracaraí;Pública;0.0
RR;1400233;Caroebe;Estadual;0.0
RR;1400233;Caroebe;Pública;0.0
RR;1400282;Iracema;Estadual;0.0
RR;1400282;Iracema;Pública;0.0
RR;1400308;Mucajaí;Estadual;0.0
RR;1400308;Mucajaí;Pública;0.0
RR;1400407;Normandia;Estadual;0.0
RR;1400407;Normandia;Pública;0.0
RR;1400456;Pacaraima;Estadual;0.0
RR;1400456;Pacaraima;Pública;0.0
RR;1400472;Rorainópolis;Estadual;0.0
RR;1400472;Rorainópolis;Pública;0.0
RR;1400506;São João da Baliza;Estadual;0.0
RR;1400506;São João da Baliza;Pública;0.0
RR;1400605;São Luiz;Estadual;0.0
RR;1400605;São Luiz;Pública;0.0
RR;1400704;Uiramutã;Estadual;0.0
RR;1400704;Uiramutã;Pública;0.0
PA;1500107;Abaetetuba;Estadual;3.2
PA;1500107;Abaetetuba;Federal;0.0
PA;1500107;Abaetetuba;Pública;3.3
PA;1500131;Abel Figueiredo;Estadual;0.0
PA;1500131;Abel Figueiredo;Pública;0.0
PA;1500206;Acará;Estadual;0.0
PA;1500206;Acará;Pública;0.0
PA;1500305;Afuá;Estadual;0.0
PA;1500305;Afuá;Pública;0.0
PA;1500347;Água Azul do Norte;Estadual;0.0
PA;1500347;Água Azul do Norte;Pública;0.0
PA;1500404;Alenquer;Estadual;2.5
PA;1500404;Alenquer;Pública;2.5
PA;1500503;Almeirim;Estadual;0.0
PA;1500503;Almeirim;Pública;0.0
PA;1500602;Altamira;Estadual;3.0
PA;1500602;Altamira;Federal;0.0
PA;1500602;Altamira;Pública;3.1
PA;1500701;Anajás;Estadual;0.0
PA;1500701;Anajás;Pública;0.0
PA;1500800;Ananindeua;Estadual;3.0
PA;1500800;Ananindeua;Federal;0.0
PA;1500800;Ananindeua;Pública;3.0
PA;1500859;Anapu;Estadual;0.0
PA;1500859;Anapu;Pública;0.0
PA;1500909;Augusto Corrêa;Estadual;2.5
PA;1500909;Augusto Corrêa;Pública;2.5
PA;1500958;Aurora do Pará;Estadual;2.5
PA;1500958;Aurora do Pará;Pública;2.5
PA;1501006;Aveiro;Estadual;0.0
PA;1501006;Aveiro;Pública;0.0
PA;1501105;Bagre;Estadual;0.0
PA;1501105;Bagre;Pública;0.0
PA;1501204;Baião;Estadual;2.7
PA;1501204;Baião;Pública;2.7
PA;1501253;Bannach;Estadual;0.0
PA;1501253;Bannach;Pública;0.0
PA;1501303;Barcarena;Estadual;0.0
PA;1501303;Barcarena;Pública;0.0
PA;1501402;Belém;Estadual;3.1
PA;1501402;Belém;Federal;0.0
PA;1501402;Belém;Municipal;0.0
PA;1501402;Belém;Pública;3.1
PA;1501451;Belterra;Estadual;0.0
PA;1501451;Belterra;Pública;0.0
PA;1501501;Benevides;Estadual;3.1
PA;1501501;Benevides;Pública;3.1
PA;1501576;Bom Jesus do Tocantins;Estadual;0.0
PA;1501576;Bom Jesus do Tocantins;Pública;0.0
PA;1501600;Bonito;Estadual;2.1
PA;1501600;Bonito;Pública;2.1
PA;1501709;Bragança;Estadual;2.5
PA;1501709;Bragança;Federal;0.0
PA;1501709;Bragança;Pública;2.8
PA;1501725;Brasil Novo;Estadual;0.0
PA;1501725;Brasil Novo;Pública;0.0
PA;1501758;Brejo Grande do Araguaia;Estadual;0.0
PA;1501758;Brejo Grande do Araguaia;Pública;0.0
PA;1501782;Breu Branco;Estadual;0.0
PA;1501782;Breu Branco;Pública;0.0
PA;1501808;Breves;Estadual;0.0
PA;1501808;Breves;Federal;0.0
PA;1501808;Breves;Pública;0.0
PA;1501907;Bujaru;Estadual;2.5
PA;1501907;Bujaru;Pública;2.5
PA;1501956;Cachoeira do Piriá;Estadual;0.0
PA;1501956;Cachoeira do Piriá;Pública;0.0
PA;1502004;Cachoeira do Arari;Estadual;2.5
PA;1502004;Cachoeira do Arari;Pública;2.5
PA;1502103;Cametá;Estadual;2.9
PA;1502103;Cametá;Federal;0.0
PA;1502103;Cametá;Pública;3.0
PA;1502152;Canaã dos Carajás;Estadual;0.0
PA;1502152;Canaã dos Carajás;Pública;0.0
PA;1502202;Capanema;Estadual;2.6
PA;1502202;Capanema;Pública;2.6
PA;1502301;Capitão Poço;Estadual;2.5
PA;1502301;Capitão Poço;Pública;2.5
PA;1502400;Castanhal;Estadual;0.0
PA;1502400;Castanhal;Federal;0.0
PA;1502400;Castanhal;Pública;0.0
PA;1502509;Chaves;Estadual;0.0
PA;1502509;Chaves;Pública;0.0
PA;1502608;Colares;Estadual;3.2
PA;1502608;Colares;Pública;3.2
PA;1502707;Conceição do Araguaia;Estadual;0.0
PA;1502707;Conceição do Araguaia;Federal;0.0
PA;1502707;Conceição do Araguaia;Pública;0.0
PA;1502756;Concórdia do Pará;Estadual;2.2
PA;1502756;Concórdia do Pará;Pública;2.2
PA;1502764;Cumaru do Norte;Estadual;2.2
PA;1502764;Cumaru do Norte;Pública;2.2
PA;1502772;Curionópolis;Estadual;0.0
PA;1502772;Curionópolis;Pública;0.0
PA;1502806;Curralinho;Estadual;0.0
PA;1502806;Curralinho;Pública;0.0
PA;1502855;Curuá;Estadual;0.0
PA;1502855;Curuá;Pública;0.0
PA;1502905;Curuçá;Estadual;3.0
PA;1502905;Curuçá;Pública;3.0
PA;1502939;Dom Eliseu;Estadual;2.2
PA;1502939;Dom Eliseu;Pública;2.2
PA;1502954;Eldorado do Carajás;Estadual;0.0
PA;1502954;Eldorado do Carajás;Pública;0.0
PA;1503002;Faro;Estadual;0.0
PA;1503002;Faro;Pública;0.0
PA;1503044;Floresta do Araguaia;Estadual;0.0
PA;1503044;Floresta do Araguaia;Pública;0.0
PA;1503077;Garrafão do Norte;Estadual;2.4
PA;1503077;Garrafão do Norte;Pública;2.4
PA;1503093;Goianésia do Pará;Estadual;0.0
PA;1503093;Goianésia do Pará;Pública;0.0
PA;1503101;Gurupá;Estadual;0.0
PA;1503101;Gurupá;Pública;0.0
PA;1503200;Igarapé-Açu;Estadual;3.0
PA;1503200;Igarapé-Açu;Pública;3.0
PA;1503309;Igarapé-Miri;Estadual;2.8
PA;1503309;Igarapé-Miri;Pública;2.8
PA;1503408;Inhangapi;Estadual;0.0
PA;1503408;Inhangapi;Pública;0.0
PA;1503457;Ipixuna do Pará;Estadual;0.0
PA;1503457;Ipixuna do Pará;Pública;0.0
PA;1503507;Irituia;Estadual;2.5
PA;1503507;Irituia;Pública;2.5
PA;1503606;Itaituba;Estadual;2.7
PA;1503606;Itaituba;Federal;0.0
PA;1503606;Itaituba;Pública;2.8
PA;1503705;Itupiranga;Estadual;2.3
PA;1503705;Itupiranga;Pública;2.3
PA;1503754;Jacareacanga;Estadual;0.0
PA;1503754;Jacareacanga;Pública;0.0
PA;1503804;Jacundá;Estadual;2.4
PA;1503804;Jacundá;Pública;2.4
PA;1503903;Juruti;Estadual;3.1
PA;1503903;Juruti;Pública;3.1
PA;1504000;Limoeiro do Ajuru;Estadual;2.6
PA;1504000;Limoeiro do Ajuru;Pública;2.6
PA;1504059;Mãe do Rio;Estadual;3.2
PA;1504059;Mãe do Rio;Pública;3.2
PA;1504109;Magalhães Barata;Estadual;0.0
PA;1504109;Magalhães Barata;Pública;0.0
PA;1504208;Marabá;Estadual;2.9
PA;1504208;Marabá;Federal;0.0
PA;1504208;Marabá;Pública;3.0
PA;1504307;Maracanã;Estadual;2.7
PA;1504307;Maracanã;Pública;2.7
PA;1504406;Marapanim;Estadual;2.6
PA;1504406;Marapanim;Pública;2.6
PA;1504422;Marituba;Estadual;3.5
PA;1504422;Marituba;Pública;3.5
PA;1504455;Medicilândia;Estadual;0.0
PA;1504455;Medicilândia;Pública;0.0
PA;1504505;Melgaço;Estadual;0.0
PA;1504505;Melgaço;Pública;0.0
PA;1504604;Mocajuba;Estadual;0.0
PA;1504604;Mocajuba;Pública;0.0
PA;1504703;Moju;Estadual;2.9
PA;1504703;Moju;Pública;2.9
PA;1504752;Mojuí dos Campos;Estadual;0.0
PA;1504752;Mojuí dos Campos;Pública;0.0
PA;1504802;Monte Alegre;Estadual;3.0
PA;1504802;Monte Alegre;Pública;3.0
PA;1504901;Muaná;Estadual;0.0
PA;1504901;Muaná;Pública;0.0
PA;1504950;Nova Esperança do Piriá;Estadual;0.0
PA;1504950;Nova Esperança do Piriá;Pública;0.0
PA;1504976;Nova Ipixuna;Estadual;0.0
PA;1504976;Nova Ipixuna;Pública;0.0
PA;1505007;Nova Timboteua;Estadual;3.3
PA;1505007;Nova Timboteua;Pública;3.3
PA;1505031;Novo Progresso;Estadual;0.0
PA;1505031;Novo Progresso;Pública;0.0
PA;1505064;Novo Repartimento;Estadual;0.0
PA;1505064;Novo Repartimento;Pública;0.0
PA;1505106;Óbidos;Estadual;3.0
PA;1505106;Óbidos;Pública;3.0
PA;1505205;Oeiras do Pará;Estadual;0.0
PA;1505205;Oeiras do Pará;Pública;0.0
PA;1505304;Oriximiná;Estadual;3.5
PA;1505304;Oriximiná;Pública;3.5
PA;1505403;Ourém;Estadual;3.0
PA;1505403;Ourém;Pública;3.0
PA;1505437;Ourilândia do Norte;Estadual;2.8
PA;1505437;Ourilândia do Norte;Pública;2.8
PA;1505486;Pacajá;Estadual;2.9
PA;1505486;Pacajá;Municipal;0.0
PA;1505486;Pacajá;Pública;2.9
PA;1505494;Palestina do Pará;Estadual;0.0
PA;1505494;Palestina do Pará;Pública;0.0
PA;1505502;Paragominas;Estadual;0.0
PA;1505502;Paragominas;Federal;5.3
PA;1505502;Paragominas;Pública;0.0
PA;1505536;Parauapebas;Estadual;0.0
PA;1505536;Parauapebas;Federal;0.0
PA;1505536;Parauapebas;Pública;0.0
PA;1505551;Pau D'Arco;Estadual;0.0
PA;1505551;Pau D'Arco;Pública;0.0
PA;1505601;Peixe-Boi;Estadual;3.0
PA;1505601;Peixe-Boi;Pública;3.0
PA;1505635;Piçarra;Estadual;0.0
PA;1505635;Piçarra;Pública;0.0
PA;1505650;Placas;Estadual;0.0
PA;1505650;Placas;Pública;0.0
PA;1505700;Ponta de Pedras;Estadual;3.1
PA;1505700;Ponta de Pedras;Pública;3.1
PA;1505809;Portel;Estadual;2.6
PA;1505809;Portel;Pública;2.6
PA;1505908;Porto de Moz;Estadual;2.2
PA;1505908;Porto de Moz;Pública;2.2
PA;1506005;Prainha;Estadual;2.8
PA;1506005;Prainha;Pública;2.8
PA;1506104;Primavera;Estadual;0.0
PA;1506104;Primavera;Pública;0.0
PA;1506112;Quatipuru;Estadual;3.1
PA;1506112;Quatipuru;Pública;3.1
PA;1506138;Redenção;Estadual;0.0
PA;1506138;Redenção;Pública;0.0
PA;1506161;Rio Maria;Estadual;0.0
PA;1506161;Rio Maria;Pública;0.0
PA;1506187;Rondon do Pará;Estadual;0.0
PA;1506187;Rondon do Pará;Pública;0.0
PA;1506195;Rurópolis;Estadual;0.0
PA;1506195;Rurópolis;Pública;0.0
PA;1506203;Salinópolis;Estadual;2.8
PA;1506203;Salinópolis;Pública;2.8
PA;1506302;Salvaterra;Estadual;2.9
PA;1506302;Salvaterra;Pública;2.9
PA;1506351;Santa Bárbara do Pará;Estadual;3.0
PA;1506351;Santa Bárbara do Pará;Pública;3.0
PA;1506401;Santa Cruz do Arari;Estadual;2.3
PA;1506401;Santa Cruz do Arari;Pública;2.3
PA;1506500;Santa Izabel do Pará;Estadual;2.8
PA;1506500;Santa Izabel do Pará;Pública;2.8
PA;1506559;Santa Luzia do Pará;Estadual;0.0
PA;1506559;Santa Luzia do Pará;Pública;0.0
PA;1506583;Santa Maria das Barreiras;Estadual;0.0
PA;1506583;Santa Maria das Barreiras;Pública;0.0
PA;1506609;Santa Maria do Pará;Estadual;2.5
PA;1506609;Santa Maria do Pará;Pública;2.5
PA;1506708;Santana do Araguaia;Estadual;0.0
