UF;tipo_de_crime;ano;qtd;taxa_100mil_hab
PA;Estupro (incluindo Estupro de Vulnerável);2017;3332;39.82488525
PB;Estupro (incluindo Estupro de Vulnerável);2017;365;9.067065982
PE;Estupro (incluindo Estupro de Vulnerável);2017;2361;24.92276687
PI;Estupro (incluindo Estupro de Vulnerável);2017;836;25.96872508
PR;Estupro (incluindo Estupro de Vulnerável);2017;5781;51.06488075
RJ;Estupro (incluindo Estupro de Vulnerável);2017;4952;29.6190743
RN;Estupro (incluindo Estupro de Vulnerável);2017;213;6.073561956
RO;Estupro (incluindo Estupro de Vulnerável);2017;859;47.56926062
RR;Estupro (incluindo Estupro de Vulnerável);2017;332;63.52413534
RS;Estupro (incluindo Estupro de Vulnerável);2017;4963;43.83154661
SC;Estupro (incluindo Estupro de Vulnerável);2017;3663;52.3198938
SE;Estupro (incluindo Estupro de Vulnerável);2017;568;24.82391627
SP;Estupro (incluindo Estupro de Vulnerável);2017;11788;26.14044801
TO;Estupro (incluindo Estupro de Vulnerável);2017;594;38.31778474
AC;Estupro (incluindo Estupro de Vulnerável);2018;260;29.91032654
AL;Estupro (incluindo Estupro de Vulnerável);2018;759;22.84204381
AM;Estupro (incluindo Estupro de Vulnerável);2018;988;24.2120604
AP;Estupro (incluindo Estupro de Vulnerável);2018;297;35.80496061
BA;Estupro (incluindo Estupro de Vulnerável);2018;3342;22.56184711
Brasil;Estupro (incluindo Estupro de Vulnerável);2018;67211;32.23628012
CE;Estupro (incluindo Estupro de Vulnerável);2018;1790;19.72310741
DF;Estupro (incluindo Estupro de Vulnerável);2018;789;26.52365631
ES;Estupro (incluindo Estupro de Vulnerável);2018;1555;39.14521945
GO;Estupro (incluindo Estupro de Vulnerável);2018;3189;46.07608463
MA;Estupro (incluindo Estupro de Vulnerável);2018;1189;16.90107611
MG;Estupro (incluindo Estupro de Vulnerável);2018;5619;26.70543351
MS;Estupro (incluindo Estupro de Vulnerável);2018;2283;83.07790728
MT;Estupro (incluindo Estupro de Vulnerável);2018;1676;48.69264886
PA;Estupro (incluindo Estupro de Vulnerável);2018;3659;42.97881352
PB;Estupro (incluindo Estupro de Vulnerável);2018;245;6.130370204
PE;Estupro (incluindo Estupro de Vulnerável);2018;2751;28.96919577
PI;Estupro (incluindo Estupro de Vulnerável);2018;751;23.00483592
PR;Estupro (incluindo Estupro de Vulnerável);2018;6898;60.78102293
RJ;Estupro (incluindo Estupro de Vulnerável);2018;5310;30.94412807
RN;Estupro (incluindo Estupro de Vulnerável);2018;315;9.05429993
RO;Estupro (incluindo Estupro de Vulnerável);2018;1053;59.91161756
RR;Estupro (incluindo Estupro de Vulnerável);2018;253;43.88034022
RS;Estupro (incluindo Estupro de Vulnerável);2018;4794;42.31392004
SC;Estupro (incluindo Estupro de Vulnerável);2018;4303;60.81554164
SE;Estupro (incluindo Estupro de Vulnerável);2018;546;23.96515309
SP;Estupro (incluindo Estupro de Vulnerável);2018;11949;26.23908473
TO;Estupro (incluindo Estupro de Vulnerável);2018;648;41.66588972
AC;Estupro (incluindo Estupro de Vulnerável);2019;433;49.09658875
AL;Estupro (incluindo Estupro de Vulnerável);2019;877;26.27827949
AM;Estupro (incluindo Estupro de Vulnerável);2019;997;24.0554148
AP;Estupro (incluindo Estupro de Vulnerável);2019;549;64.91425761
BA;Estupro (incluindo Estupro de Vulnerável);2019;3451;23.2030199
Brasil;Estupro (incluindo Estupro de Vulnerável);2019;69886;33.2557488
CE;Estupro (incluindo Estupro de Vulnerável);2019;1972;21.5942089
DF;Estupro (incluindo Estupro de Vulnerável);2019;906;30.04708039
ES;Estupro (incluindo Estupro de Vulnerável);2019;1741;43.32300648
GO;Estupro (incluindo Estupro de Vulnerável);2019;3334;47.5040159
MA;Estupro (incluindo Estupro de Vulnerável);2019;1450;20.49417534
MG;Estupro (incluindo Estupro de Vulnerável);2019;4973;23.49213047
MS;Estupro (incluindo Estupro de Vulnerável);2019;2280;82.04431401
MT;Estupro (incluindo Estupro de Vulnerável);2019;1823;52.31791615
PA;Estupro (incluindo Estupro de Vulnerável);2019;3593;41.76515614
PB;Estupro (incluindo Estupro de Vulnerável);2019;178;4.429924689
PE;Estupro (incluindo Estupro de Vulnerável);2019;2508;26.24234977
PI;Estupro (incluindo Estupro de Vulnerável);2019;815;24.89897584
PR;Estupro (incluindo Estupro de Vulnerável);2019;7670;67.08088897
RJ;Estupro (incluindo Estupro de Vulnerável);2019;5450;31.56685776
RN;Estupro (incluindo Estupro de Vulnerável);2019;538;15.34139013
RO;Estupro (incluindo Estupro de Vulnerável);2019;1083;60.93769782
RR;Estupro (incluindo Estupro de Vulnerável);2019;340;56.12774675
RS;Estupro (incluindo Estupro de Vulnerável);2019;4743;41.68849753
SC;Estupro (incluindo Estupro de Vulnerável);2019;4298;59.9878182
SE;Estupro (incluindo Estupro de Vulnerável);2019;732;31.8441412
SP;Estupro (incluindo Estupro de Vulnerável);2019;12374;26.94742219
TO;Estupro (incluindo Estupro de Vulnerável);2019;778;49.46384498
AC;Estupro (incluindo Estupro de Vulnerável);2020;308;34.43379879
AL;Estupro (incluindo Estupro de Vulnerável);2020;805;24.01878776
AM;Estupro (incluindo Estupro de Vulnerável);2020;864;20.53371498
AP;Estupro (incluindo Estupro de Vulnerável);2020;470;54.53872423
BA;Estupro (incluindo Estupro de Vulnerável);2020;3126;20.93682023
Brasil;Estupro (incluindo Estupro de Vulnerável);2020;62917;29.71207027
CE;Estupro (incluindo Estupro de Vulnerável);2020;1812;19.72330124
DF;Estupro (incluindo Estupro de Vulnerável);2020;699;22.87940785
ES;Estupro (incluindo Estupro de Vulnerável);2020;1508;37.10582443
GO;Estupro (incluindo Estupro de Vulnerável);2020;2951;41.48426803
